CoreID,StartTimeAvailable,PerformanceRating,AvailabilityTime
I0001,00.00,1,1440
I0002,00.00,1,1440
I0003,00.00,1,1440
I0004,00.00,1,1440
I0005,00.00,1,1440
I0006,00.00,1,1440
I0007,00.00,1,1440
I0008,00.00,1,1440
I0009,00.00,1,1440
I0010,00.00,1,1440
I0011,00.00,1,1440
I0012,00.00,1,1440
I0013,00.00,1,1440
I0014,00.00,1,1440
I0015,00.00,1,1440
I0016,00.00,1,1440
I0017,00.00,1,1440
I0018,00.00,1,1440
I0019,00.00,1,1440
I0020,00.00,1,1440
I0021,00.00,1,1440
I0022,00.00,1,1440
I0023,00.00,1,1440
I0024,00.00,1,1440
I0025,00.00,1,1440
I0026,00.00,1,1440
I0027,00.00,1,1440
I0028,00.00,1,1440
I0029,00.00,1,1440
I0030,00.00,1,1440
I0031,00.00,1,1440
I0032,00.00,1,1440
I0033,00.00,1,1440
I0034,00.00,1,1440
I0035,00.00,1,1440
I0036,00.00,1,1440
I0037,00.00,1,1440
I0038,00.00,1,1440
I0039,00.00,1,1440
I0040,00.00,1,1440
I0041,00.00,1,1440
I0042,00.00,1,1440
I0043,00.00,1,1440
I0044,00.00,1,1440
I0045,00.00,1,1440
I0046,00.00,1,1440
I0047,00.00,1,1440
I0048,00.00,1,1440
I0049,00.00,1,1440
I0050,00.00,1,1440
I0051,00.00,1,1440
I0052,00.00,1,1440
I0053,00.00,1,1440
I0054,00.00,1,1440
I0055,00.00,1,1440
I0056,00.00,1,1440
I0057,00.00,1,1440
I0058,00.00,1,1440
I0059,00.00,1,1440
I0060,00.00,1,1440
I0061,00.00,1,1440
I0062,00.00,1,1440
I0063,00.00,1,1440
I0064,00.00,1,1440
